,GRE Score,TOEFL Score
220,313,103
221,316,110
222,324,113
223,308,109
224,305,105
225,296,99
226,306,110
227,312,110
228,318,112
229,324,111
230,313,104
231,319,106
232,312,107
233,304,100
234,330,113
235,326,111
236,325,112
237,329,114
238,310,104
239,299,100
240,296,101
241,317,103
242,324,115
243,325,114
244,314,107
245,328,110
246,316,105
247,311,104
248,324,110
249,321,111
250,320,104
251,316,99
252,318,100
253,335,115
254,321,114
255,307,110
256,309,99
257,324,100
258,326,102
259,331,119
260,327,108
261,312,104
262,308,103
263,324,111
264,325,110
265,313,102
266,312,105
267,314,107
268,327,113
269,308,108
270,306,105
271,299,96
272,294,95
273,312,99
274,315,100
275,322,110
276,329,113
277,320,101
278,308,103
279,304,102
280,311,102
281,317,110
282,312,106
283,321,111
284,340,112
285,331,116
286,336,118
287,324,114
288,314,104
289,313,109
290,307,105
291,300,102
292,302,99
293,312,98
294,316,101
295,317,100
296,310,107
297,320,120
298,330,114
299,305,112
300,309,106
301,319,108
302,322,105
303,323,107
304,313,106
305,321,109
306,323,110
307,325,112
308,312,108
309,308,110
310,320,104
311,328,108
312,311,107
313,301,100
314,305,105
315,308,104
316,298,101
317,300,99
318,324,111
319,327,113
320,317,106
321,323,104
322,314,107
323,305,102
324,315,104
325,326,116
326,299,100
327,295,101
328,324,112
329,297,96
330,327,113
331,311,105
332,308,106
333,319,108
334,312,107
335,325,111
336,319,110
337,332,118
338,323,108
339,324,107
340,312,107
341,326,110
342,308,106
343,305,103
344,295,96
345,316,98
346,304,97
347,299,94
348,302,99
349,313,101
350,318,107
351,325,110
352,303,100
353,300,102
354,297,98
355,317,106
356,327,109
357,301,104
358,314,105
359,321,107
360,322,110
361,334,116
362,338,115
363,306,103
364,313,102
365,330,114
366,320,104
367,311,98
368,298,92
369,301,98
370,310,103
371,324,110
372,336,119
373,321,109
374,315,105
375,304,101
376,297,96
377,290,100
378,303,98
379,311,99
380,322,104
381,319,105
382,324,110
383,300,100
384,340,113
385,335,117
386,302,101
387,307,105
388,296,97
389,320,108
390,314,102
391,318,106
392,326,112
393,317,104
394,329,111
395,324,110
396,325,107
397,330,116
398,312,103
399,333,117
400,304,100
401,315,105
402,324,109
403,330,116
404,311,101
405,302,99
406,322,103
407,298,100
408,297,101
409,300,98
410,301,96
411,313,94
412,314,102
413,317,101
414,321,110
415,327,106
416,315,104
417,316,103
418,309,111
419,308,102
420,299,100
421,321,112
422,322,112
423,334,119
424,325,114
425,323,111
426,312,106
427,310,101
428,316,103
429,340,115
430,311,104
431,320,112
432,324,112
433,316,111
434,306,103
435,309,105
436,310,110
437,317,106
438,318,110
439,312,105
440,305,104
441,332,112
442,331,116
443,321,114
444,324,113
445,328,116
446,327,118
447,320,108
448,312,109
449,315,101
450,320,112
451,324,113
452,328,116
453,319,103
454,310,105
455,305,102
456,299,100
457,295,99
458,312,100
459,329,113
460,319,105
461,301,102
462,307,105
463,304,107
464,298,97
465,305,96
466,314,99
467,318,101
468,323,110
469,326,114
470,320,110
471,311,103
472,327,116
473,316,102
474,308,105
475,300,101
476,304,104
477,309,105
478,318,103
479,325,110
480,321,102
481,323,107
482,328,113
483,304,103
484,317,106
485,311,101
486,319,102
487,327,115
488,322,112
489,302,110
490,307,105
491,297,99
492,298,101
493,300,95
494,301,99
495,332,108
496,337,117
497,330,120
498,312,103
499,327,113
